Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
E,B,A,D,C+,B,D+,A,A,C+,C,C-,C+,C-,B,C,D,D+,C-,B,C,B-,A,C,B,D+,"Attention to Detail, Healthcare, Sports, Building things","Communication, Attention to Detail, Problem Solving",2
D-,D+,B-,D,C+,B-,B-,D,B,A,B+,A-,D+,D,B+,C+,C+,E,A-,D+,C,A,B+,B-,E,C+,"Communication, Science, Sports","Attention to Detail, Empathy, Problem Solving, Teamwork",2
D-,A-,C,B-,B-,C+,D+,D,B,C-,B,E,D-,A,D-,B,D+,D-,B-,C+,B-,B+,A,D-,C,B-,"Communication, Science","Communication, Attention to Detail, Teamwork, Analytical Skills",2
A,C+,A,D+,C,B-,B-,B,A-,D,D-,D,A,A-,D-,A-,E,C-,D+,C+,B+,B,D+,D-,C-,E,"Art, Empathy, Management","Communication, Attention to Detail, Creativity, Leadership",2
B+,A,A,D,C,A,D,A-,B,E,C,D,C,D+,A-,B,C-,B+,B,C-,E,A-,B+,E,B,C+,"Communication, Sports, Building things","Communication, Attention to Detail, Empathy, Teamwork",2
B+,A-,E,C+,A,B-,B+,D,D,C-,C+,A-,D,E,C-,C,A-,B,C,D,D-,B-,C+,D+,B,C-,"Communication, Programming","Logical Thinking, Teamwork, Attention to Detail, Analytical Skills, Communication, Empathy",2
D+,C+,A,C+,D+,E,A-,E,A,D-,D,D-,E,B-,C+,D,C,A,D-,D+,D,D,C+,A-,C+,C-,"Attention to Detail, Programming, Debating, Management","Attention to Detail, Empathy, Analytical Skills",2
C+,D+,D+,A-,D+,C-,D,C,B-,B,A-,D-,C,C,D-,E,B,B,D,B,D-,D,A-,D,D+,C+,"Communication, Programming, Sports, Building things","Communication, Attention to Detail, Empathy, Teamwork",2
D,C,A,E,D+,B-,D,C,A-,B+,C+,A-,B+,C-,B,B+,C+,C,C-,B+,B-,A,E,A,D,B,"Attention to Detail, Music, Science","Attention to Detail, Manual Dexterity, Analytical Skills, Communication, Empathy",2
D-,D+,A,D,D-,B,A-,C+,B+,A,B,D+,A,D+,C-,C+,D,C+,C,B+,D,D-,C+,D,A,C,"Communication, Technology, Building things","Communication, Empathy",2
B+,C-,C+,C+,A-,A-,B,B+,C,A-,D-,E,D+,A-,C,C-,B,B-,D,E,B,D+,C+,D+,D-,B-,"Communication, Technology, Sports, Management","Communication, Creativity, Empathy, Leadership",2
A-,C,D+,E,A-,A,C+,A,D,B-,A,E,C,D,D-,B-,B-,C-,C-,C-,B-,C+,A-,C-,D,A,"Empathy, Debating","Attention to Detail, Empathy, Leadership",2
D,E,D-,A-,B-,D,A,A-,B,C+,E,B-,C+,B-,C+,D,C-,A,C+,E,D+,A-,D-,B+,B,C+,"Communication, Programming, Science, Management","Attention to Detail, Manual Dexterity, Empathy, Problem Solving",2
D+,A,B,C,B,D-,B+,B,B+,C+,D+,D-,C+,E,D,A,C,D+,D-,B-,C+,D,E,A-,D,D+,"Communication, Technology","Teamwork, Attention to Detail, Creativity, Problem Solving, Communication, Empathy",2
C,C-,B-,D+,A-,C,B-,C-,A,C-,E,D+,A-,D,C+,C+,B,A,D,D-,C+,C+,C,B-,C+,C,"Empathy, Healthcare, Sports","Research, Attention to Detail, Empathy",2
C-,D-,D-,D,B+,C-,D,C-,A-,B-,C+,D-,A-,C+,E,D+,A-,C-,B+,B-,C+,D-,D-,D,C+,B,"Communication, Programming, Science, Management","Teamwork, Creativity, Leadership, Communication, Empathy",2
B+,C-,B-,D+,A-,D,A,B,A-,B+,B-,E,B,D+,B,B,A-,D-,C-,D,C+,D,B,D+,D,D+,"Communication, Programming","Communication, Creativity, Empathy",2
C+,B,D,B+,C+,E,C,A-,C,C,B-,C,C-,C,C+,C-,D,C+,B,B,A-,B+,C,D+,A-,B+,"Empathy, Technology","Attention to Detail, Empathy, Teamwork",2
B+,B,C+,A-,A-,D,A,D-,B,B,E,D-,A-,E,B,A,A,B,D-,D+,D,A-,C+,B+,C-,A,"Attention to Detail, Music","Attention to Detail, Manual Dexterity, Creativity, Empathy",2
C+,D-,C-,C+,D,C+,D+,B,A,B+,A-,C-,D-,C+,D-,A,B,A-,D-,D-,A,D+,C-,D+,C+,E,"Communication, Management, Sports, Building things","Attention to Detail, Empathy, Problem Solving",2
B-,A-,E,A,B+,D+,B,A-,D+,E,D-,B+,B,C+,B-,D-,C+,D+,E,B+,B,C+,B+,D+,A,C,"Art, Attention to Detail","Attention to Detail, Creativity, Manual Dexterity, Analytical Skills, Communication, Empathy",2
B-,B+,D-,C,C,C-,B,A-,C-,D,D-,D,A-,C,C-,B-,B,D+,D,C-,C+,C,C-,C+,C,A,"Science, Empathy, Music, Programming","Communication, Attention to Detail, Logical Thinking",2
A-,A,B,C-,B+,A,A-,B-,C+,A-,A-,C+,D,B,C,C,E,B-,B+,D,D+,D-,C-,C+,E,C-,"Communication, Sports","Communication, Manual Dexterity, Empathy, Teamwork",2
E,A-,B-,E,B-,A-,B,B,A-,B-,C-,C,A,D,C+,C-,C,E,C-,D,D+,A-,C-,D-,D-,A,"Art, Communication","Attention to Detail, Empathy, Teamwork, Analytical Skills",2
C,C,C-,B+,C+,C+,A-,B,C-,B,D-,C-,A,B,B-,D,C,A-,C+,A-,A-,B-,B+,B-,C,D,"Attention to Detail, Programming, Sports","Research, Attention to Detail, Manual Dexterity, Empathy",2
B,C+,A-,D-,C-,D,B+,D,A,D+,D,B+,B,A-,D+,D-,B,D+,B,D-,B-,D,B-,D-,C-,C-,"Art, Communication, Science","Logical Thinking, Teamwork, Creativity, Communication, Empathy",2
A-,C+,B+,E,D,D,C,D-,A,C+,A,B-,B-,D,C+,D,A-,C-,D-,A-,C+,C,A-,D-,D-,B,"Science, Empathy, Programming, Management","Logical Thinking, Research, Attention to Detail, Problem Solving, Analytical Skills, Empathy",2
C-,B,D+,B,D-,A-,A-,A,A-,C+,C,A-,C+,D,C+,B,D+,D-,B,D+,B-,D-,B-,A,A,E,"Empathy, Programming, Debating, Technology","Communication, Attention to Detail, Creativity",2
C-,E,A-,C,E,A-,A-,A-,A,A,D,B,B,D+,C,B-,C-,C-,B+,C-,A,C,C-,D+,B,D-,"Communication, Science, Debating","Logical Thinking, Problem Solving, Manual Dexterity, Leadership, Communication, Empathy",2
B+,E,B+,D-,B-,D+,B+,D+,A-,D+,A-,B-,C-,B+,D,C+,D-,A-,C,B-,B,B+,C-,B-,A-,C,"Healthcare, Attention to Detail, Music, Programming","Communication, Attention to Detail, Logical Thinking, Empathy",2
D,A-,B,B-,D+,A-,A-,E,B+,A-,D-,B+,D,C+,B+,E,A-,A-,D+,E,B+,C+,D-,D-,B,C+,"Attention to Detail, Music","Research, Communication, Attention to Detail, Teamwork",2
A,C-,D+,A,C-,E,B,A-,D,B,E,A-,B-,E,C-,D,A-,A,B-,C,A-,B+,D-,B,D-,D,"Communication, Technology, Management","Attention to Detail, Leadership, Communication, Teamwork",2
C,D,D,B+,B+,E,B-,D,C+,C-,C,B-,B,E,C,B+,D+,D+,A,D+,A,B-,A,C,D+,A-,"Art, Empathy, Science, Sports","Communication, Attention to Detail, Creativity, Analytical Skills",2
B-,B-,D-,D,A,C-,A-,C-,C+,E,D+,D,C+,B+,D+,B-,C,E,B+,A,C+,E,A-,C-,B,C+,"Attention to Detail, Technology","Communication, Logical Thinking, Empathy, Teamwork",2
A-,A,D-,C+,C+,A-,B-,A,C,C,C-,B+,A,A,D-,B+,B+,B-,D+,D+,D-,B+,B,C,B,A,"Empathy, Sports","Communication, Attention to Detail, Manual Dexterity",2
D-,D+,B,A,A-,D-,D,A-,B,E,C-,C-,D+,A-,B-,D-,B+,A-,C+,A,B,D,D-,B,B-,D+,"Communication, Programming, Healthcare","Communication, Attention to Detail, Empathy",2
A,B-,D-,A,B-,E,B+,B-,A,C+,E,A,D-,D,B+,B+,E,D+,C+,A-,D-,A-,A,B,D-,B-,"Communication, Music, Debating","Communication, Manual Dexterity, Empathy, Analytical Skills",2
A-,D-,C+,B-,D-,D,A-,B-,B+,B-,B-,C+,D,C-,D,E,A-,A,C+,C+,D+,C-,A-,B+,C,D+,"Attention to Detail, Programming, Management","Research, Attention to Detail, Manual Dexterity, Analytical Skills, Empathy",2
C-,A-,D+,A-,A,B-,B-,B-,C-,B,C-,C-,B-,C+,B,C+,D-,B,B-,D+,C-,A-,D-,C,B-,C-,"Programming, Empathy, Debating, Management","Teamwork, Creativity, Manual Dexterity, Communication, Empathy",2
D,E,C+,C,C+,B-,C+,D-,B,D+,D-,D+,A,D+,B+,B-,B+,A-,A-,C,E,E,B-,B+,C,B+,"Empathy, Music, Sports","Communication, Research, Empathy, Analytical Skills",2
C,D-,A-,E,B+,A,A-,E,A,A,D+,A-,B-,D+,B+,B-,D-,B+,C-,D+,B-,E,D,C+,C,E,"Attention to Detail, Science","Research, Attention to Detail, Empathy, Analytical Skills",2
C+,B-,D,B-,B,C+,B,D+,D,C,A-,C-,C-,A,D-,D,B+,B-,D+,B-,E,C,C-,D,C,A-,"Empathy, Management","Communication, Attention to Detail, Logical Thinking, Creativity",2
B+,A-,B-,E,A,C,C-,D+,A,A,D-,C-,C-,C+,D,A-,D+,C-,C+,C,A,B+,A-,D+,C+,A-,"Communication, Technology, Sports","Teamwork, Research, Attention to Detail, Analytical Skills, Communication",2
C,D-,C,B+,C-,B+,B,B,B,E,A,E,A,E,A,E,B,C-,D+,C-,D-,C-,C-,C-,A,D+,"Music, Empathy, Science, Management","Attention to Detail, Creativity, Empathy",2
D-,B+,E,A-,C,C,D,C-,D,D+,D,A-,E,B-,D-,B-,A-,D,B+,C,B,A-,C,C,E,C+,"Empathy, Science, Sports","Attention to Detail, Empathy, Teamwork, Analytical Skills",2
D,C-,D-,E,D+,A-,D,C+,A,B+,B,C+,E,A,A,A-,B-,B,B+,D-,B+,D+,A,B,D+,D+,"Art, Communication, Music, Management","Attention to Detail, Creativity, Empathy",2
B-,D-,C+,D-,B+,C-,B,B-,C+,E,B+,A-,C+,D-,B-,A-,D-,B+,C+,A,A-,D-,B+,B-,C,D-,"Attention to Detail, Music","Communication, Empathy, Teamwork",2
C+,D-,E,D,E,B+,A,D,A-,C+,D+,A-,A-,C-,A,A-,E,B-,C-,C+,E,A-,A,D,B+,C,"Empathy, Science, Technology, Building things","Research, Communication, Empathy, Leadership",2
A,A,A-,B-,D+,A,A,B+,A,C+,A,D-,E,A-,C+,B+,C-,B+,B+,D+,E,D,C-,C,D+,C-,"Empathy, Science, Sports","Research, Communication, Manual Dexterity, Empathy",2
B+,B+,C-,E,B-,D,B+,D-,A-,E,A,C+,B+,B,C,B,C,D-,D-,C-,B+,A-,D-,D-,C-,B,"Art, Music, Empathy, Healthcare","Research, Attention to Detail, Empathy",2
D-,C-,D-,E,B,E,B+,D-,B+,B,D+,B-,B,C,A-,B,E,D,C+,A,C+,D,A,B+,A-,D+,"Attention to Detail, Sports","Communication, Attention to Detail, Empathy, Teamwork",2
E,C-,E,A-,D+,C-,A-,C+,A,B-,B+,C,A-,E,C+,D-,C,B,C+,A-,B,D-,D+,B-,D,B,"Empathy, Sports","Logical Thinking, Problem Solving, Analytical Skills, Communication, Empathy",2
B+,B,B-,C,A-,D+,B,B-,B,C,C,B-,B+,E,A,C+,B+,A-,D+,E,E,C+,C,D+,B+,B+,"Art, Communication, Healthcare, Building things","Communication, Creativity, Empathy",2
C,A-,B+,C,A-,B,A-,D,C-,B-,A-,A-,A-,E,D+,D-,C+,D+,E,A-,B-,C+,C+,B,E,D+,"Communication, Healthcare, Building things","Logical Thinking, Attention to Detail, Manual Dexterity, Communication, Empathy",2
A,B-,D,A-,D,C-,D,E,C-,C,C-,A-,B,B-,D-,D-,B-,E,C+,D+,B-,A-,C+,E,D,B+,"Communication, Music, Management","Communication, Manual Dexterity, Logical Thinking, Empathy",2
E,B+,D+,E,B-,B-,B+,B-,B,C,E,D+,D+,C,C-,A-,E,A,A,D-,B-,C,A,A,C-,B-,"Communication, Science","Communication, Empathy, Leadership, Teamwork",2
A,A-,E,D-,E,B,A,A,B-,A-,A-,B-,D,D,D+,C,B+,B,B,D-,C,D+,B-,A,D+,B-,"Empathy, Science","Research, Communication, Logical Thinking, Empathy",2
C+,C-,E,E,E,B+,A-,A-,A-,D,C,B+,C-,B+,C,D-,C-,C-,D-,D-,B-,E,E,B-,B-,C,"Attention to Detail, Technology","Logical Thinking, Research, Analytical Skills, Communication, Empathy",2
E,D,C,B+,E,D+,B,D,A-,C+,C+,B+,D-,B-,B-,C-,E,C+,A-,B+,D+,A-,C-,D-,C+,E,"Empathy, Healthcare, Debating, Sports","Attention to Detail, Creativity, Problem Solving, Leadership, Communication, Empathy",2
C+,D,D,D+,D+,D+,D+,C-,D+,A-,D-,C-,E,C-,A-,E,B,D+,C+,E,E,A-,B,C-,D-,D+,"Music, Empathy, Programming, Technology","Communication, Attention to Detail, Empathy",2
B+,E,A-,E,D,B-,B+,A,A-,B+,B+,E,C+,E,A,B-,A,C+,C-,B+,E,C+,A,B,E,B+,"Attention to Detail, Technology, Debating, Sports","Communication, Empathy, Problem Solving",2
E,D-,C+,B-,C,C-,A,D+,A-,A,B+,B,B,B,D,D-,B+,A,B-,B+,A,E,D,A,A,D+,"Attention to Detail, Technology","Logical Thinking, Problem Solving, Manual Dexterity, Communication, Empathy",2
D+,C-,C+,C,C,D+,B-,B,A-,E,D-,B+,A,B,A,B+,E,A-,D+,B+,E,D+,E,D-,D,D,"Attention to Detail, Music","Communication, Empathy",2
D-,B,C,B,E,B,C,D,B+,C+,C+,E,A-,C-,C+,B-,D+,C+,C,C-,B-,C,C-,D+,C-,C+,"Attention to Detail, Technology","Communication, Manual Dexterity, Empathy",2
D+,E,D,A,C,D+,D+,C-,B,D,A,B-,B,B-,D,D+,D,D,C-,D-,B,A,B-,A,C,B,"Communication, Programming, Music, Management","Communication, Empathy, Teamwork",2
C,D,B-,C,A,A,B+,B+,B+,B-,C,E,D+,C-,C+,A-,C,C,D-,B,D,C+,A,E,D,D+,"Empathy, Technology","Communication, Manual Dexterity, Empathy, Leadership",2
C+,D-,C,E,B,C+,A-,B,B,D-,C-,C-,C,E,D,B+,B,D,D+,C-,B+,C-,C-,A-,B+,A,"Communication, Technology","Communication, Attention to Detail, Creativity, Empathy",2
D+,E,E,D,C,A-,D,B-,A-,D-,D-,B,E,E,C-,D,E,A-,A-,B,D+,C,C-,C+,B-,B+,"Communication, Music, Debating, Building things","Communication, Attention to Detail, Empathy, Analytical Skills",2
E,C+,C-,B-,A-,A,B,C-,B+,A,B-,C+,C,C,E,B,D+,D-,B+,B-,C,B+,D+,D,C-,C-,"Art, Empathy, Music, Management","Research, Attention to Detail, Creativity, Manual Dexterity, Empathy",2
B+,D+,D+,B+,D,B,C+,E,A-,D,D-,A,A,C+,B-,E,C-,D,D,D-,D-,E,D,C,D,A-,"Attention to Detail, Science, Music, Sports","Attention to Detail, Empathy, Teamwork, Analytical Skills",2
E,B-,C,A,A-,B+,A-,D-,A-,B,D,C,E,B+,D-,B,B-,B,C,D+,C+,E,B+,B+,E,D,"Healthcare, Attention to Detail, Technology, Art","Teamwork, Attention to Detail, Leadership, Communication, Empathy",2
C-,A,A-,C-,D+,B,B,D,B+,B,B+,A,D,E,C+,C+,D-,C+,D,C+,C-,E,B,A-,B+,A,"Empathy, Science","Logical Thinking, Research, Attention to Detail, Problem Solving, Analytical Skills, Empathy",2
C-,D,D-,C,C+,A-,B+,B,A-,C-,B-,D,A,D,D+,B+,D,A,C,C+,D,C-,D+,A,D,C,"Communication, Music, Programming","Attention to Detail, Logical Thinking, Empathy, Leadership",2
C-,E,A,E,A-,B-,D+,B,A-,D,C,A-,E,C-,D+,C+,C-,D+,D-,B,C+,E,D+,B-,B-,B-,"Communication, Music, Debating, Management","Research, Attention to Detail, Problem Solving, Manual Dexterity, Analytical Skills, Empathy",2
D-,A-,B,C,C,C+,A-,E,C+,B,A-,D-,E,B,A,D+,D-,A,C+,D-,D-,D,C+,A,C-,E,"Art, Communication, Programming, Science","Teamwork, Manual Dexterity, Leadership, Analytical Skills, Communication, Empathy",2
B,C+,C,D+,B,D+,A-,E,A,D+,D+,C,B,E,B-,B,D+,B,C+,B-,B+,B+,A-,B-,A,C-,"Programming, Empathy, Science, Building things","Communication, Attention to Detail, Empathy",2
B+,C-,D-,B+,C,D,C-,B+,B-,B-,C+,A,D,B+,C+,C-,C,A-,A-,C-,C+,D+,E,B+,B,B+,"Art, Attention to Detail, Healthcare","Communication, Attention to Detail, Logical Thinking",2
C,B-,D-,D+,E,B-,D+,C-,A-,D+,B,A,D-,E,B,B,B+,D,D-,A-,B+,B-,D-,E,D+,E,"Healthcare, Attention to Detail, Technology, Sports","Teamwork, Manual Dexterity, Leadership, Communication, Empathy",2
B-,A,B,C,D+,A,B+,C-,C-,A,C,D+,D-,A-,D-,C-,B,B,C+,B-,A,D-,D,B,B+,B,"Attention to Detail, Music, Building things","Research, Attention to Detail, Manual Dexterity, Communication, Empathy",2
B,B-,B,A-,A,D-,C+,A-,D,B+,A-,B,A,D,B-,C,D-,A-,B-,C,D-,C-,A,D,B-,B+,"Communication, Science, Healthcare, Building things","Communication, Attention to Detail, Research",2
D+,D-,B-,D,B+,E,A,D-,A-,C+,A,B-,D+,C-,B-,D-,C-,A-,C-,B-,A-,D+,A-,D,D-,C-,"Attention to Detail, Music","Logical Thinking, Research, Attention to Detail, Creativity, Communication",2
A-,C-,D,C,D-,C,B+,D-,B+,C,C+,D,E,B-,D,C+,B-,D-,C-,D,D+,E,C,D-,B-,B-,"Communication, Programming, Technology, Sports","Teamwork, Research, Attention to Detail, Communication, Empathy",2
E,C,C,E,E,A-,B,D+,A-,D,D+,C+,B,A-,D+,C,A,B-,C-,B-,B-,C,B,D+,E,C+,"Attention to Detail, Debating, Sports","Teamwork, Attention to Detail, Creativity, Manual Dexterity, Empathy",2
B-,A-,D-,B+,D,B+,C+,C+,A,A-,C+,C-,A,D-,C+,A-,B+,C+,A-,C-,D,D-,A,E,C,D-,"Art, Communication, Science, Healthcare","Research, Attention to Detail, Problem Solving, Leadership, Communication",2
D,C,B-,D+,A-,E,B-,D+,A,A-,A,B,D-,B+,C+,C-,A-,E,D,C-,D-,A-,A,D,C,D,"Empathy, Music","Attention to Detail, Creativity, Empathy",2
C+,D-,B+,E,C+,A,A,D,A-,D+,B,D,A-,B,C,B,B-,C+,B,D-,A,C-,B,A,B,C,"Empathy, Debating, Building things","Logical Thinking, Teamwork, Research, Attention to Detail, Leadership, Empathy",2
B-,B,A-,C-,B,E,A,A-,B,D+,B,B-,D-,C,C-,B+,D+,C-,A,E,D-,D+,D-,D-,B,D+,"Attention to Detail, Science, Management","Teamwork, Attention to Detail, Creativity, Leadership, Communication",2
C+,C+,B+,C-,E,B,B,C,B+,D,B-,B,A,C-,B,B,A-,B+,C+,D,B-,B,C,C-,B,B+,"Healthcare, Communication, Technology, Debating","Communication, Creativity, Empathy",2
B,D,B,D-,E,C+,A,B,A-,C-,C-,C+,D+,B+,C+,B-,D-,C+,E,B+,D,C+,C,B-,C,D-,"Art, Attention to Detail","Communication, Attention to Detail, Logical Thinking, Empathy",2
B,D+,D+,C-,E,E,A-,C+,B,D,D,C-,C+,D-,D-,A,D-,C-,D,A-,A-,C-,A,E,C-,A,"Communication, Sports","Attention to Detail, Problem Solving, Leadership, Analytical Skills, Communication, Empathy",2
D+,D+,B+,B+,B-,C,A,B,C+,C-,C-,E,E,B,A-,B,C-,D+,D,E,B+,A-,C+,B,D,A,"Empathy, Music, Technology, Management","Communication, Creativity, Empathy",2
C-,B,D,A-,B+,C-,C-,C-,A-,D,A,B,D+,C,B-,C,D-,A,B-,E,E,A-,A-,C,A,C+,"Attention to Detail, Technology, Management","Communication, Attention to Detail, Manual Dexterity",2
B,E,E,D-,B+,B+,B+,B+,B+,D+,B,E,C,D,B-,D-,A-,B-,E,A,B,B+,A,A,B,E,"Empathy, Science, Management","Attention to Detail, Manual Dexterity, Logical Thinking, Empathy",2
C,B-,A-,A,A,E,B,C-,C,D+,E,B-,C-,D+,D+,C+,C,D,A-,D-,A,A,B-,A-,B-,D+,"Communication, Healthcare, Building things, Management","Logical Thinking, Problem Solving, Manual Dexterity, Communication, Empathy",2
A-,B-,A,C-,B+,D+,C-,E,A-,E,D,C,E,D,B+,D,A,E,C+,C,E,B-,C+,D,C-,D,"Healthcare, Empathy, Debating, Building things","Logical Thinking, Research, Leadership, Communication, Empathy",2
B,D,C-,B,B-,A-,B-,C-,A,C+,E,D,D+,B-,D+,B+,C-,B,A-,C,C,D+,D+,D,A,D-,"Empathy, Management","Teamwork, Creativity, Manual Dexterity, Communication, Empathy",2
D-,A,A,B,C+,D,B-,B-,A-,A,A,B-,E,B,D+,D+,D+,B+,D,C,A-,B+,B-,C,B,D+,"Art, Attention to Detail, Programming","Logical Thinking, Attention to Detail, Creativity, Leadership, Analytical Skills, Empathy",2
C+,B+,D+,A-,A-,C,A-,A,B+,C,C+,B+,B-,D+,B+,B-,E,C,A,C-,B,A-,B+,D-,D-,C,"Attention to Detail, Technology","Communication, Empathy, Analytical Skills",2
C+,C+,E,E,A,C,D,B+,D,D+,C-,D,D+,D+,A-,E,D+,C+,D-,A-,B,A,A,B-,B+,D+,"Communication, Sports","Research, Communication, Empathy, Analytical Skills",2
E,C+,C+,A,D-,D,D,D,D,B-,B+,A-,B,D,E,C-,D-,B,B,D,B,C-,D,B,B+,A-,"Art, Attention to Detail","Logical Thinking, Research, Attention to Detail, Creativity, Analytical Skills, Communication",2
C,B,D,D,C,A-,A-,B+,B,C-,E,B,A,B-,E,C-,A,D+,B+,B+,C+,D-,C+,D-,C-,D-,"Art, Communication, Sports, Management","Teamwork, Attention to Detail, Creativity, Manual Dexterity, Empathy",2
B+,D,D+,B-,E,B,B,A,C+,E,C+,B,C-,E,A,C-,D-,B+,D,D+,C-,D,C,B-,B+,B-,"Attention to Detail, Science, Debating, Building things","Communication, Attention to Detail, Logical Thinking, Teamwork",2
C-,B+,B+,A,C,D-,B+,A-,A-,A-,B-,D,C,D+,B+,A,B-,C+,B-,B+,B,B-,C-,A,C,E,"Attention to Detail, Music, Science, Healthcare","Communication, Logical Thinking, Creativity, Empathy",2
B+,C,D+,D+,B+,A-,B,B,B,C-,C+,D+,D-,C+,C-,B+,E,B+,B-,D,C-,B-,E,B-,E,A-,"Communication, Music, Technology","Research, Communication, Empathy, Teamwork",2
B+,E,C-,E,B+,D,A-,D+,C-,B,D+,C-,B-,A-,B,A-,A-,D+,C,B+,B,D-,B,C,C-,B+,"Attention to Detail, Debating","Teamwork, Attention to Detail, Problem Solving, Manual Dexterity, Empathy",2
C-,D+,C,D-,D,A-,C,E,B,C,B+,A-,D+,D,B-,C,D-,C+,B-,C+,D-,D-,B-,B,B+,A-,"Communication, Technology","Logical Thinking, Research, Attention to Detail, Problem Solving, Communication",2
A,A,A-,C+,E,D,D,D+,A-,B+,A-,A,B-,D,A-,C,D,C+,B-,B,A,B,E,A-,D,B+,"Communication, Sports","Communication, Attention to Detail, Empathy, Analytical Skills",2
D,D+,D,D+,E,D-,D+,B-,A-,B,B+,B-,C+,B,E,D,C-,D-,C,A,D,D-,A,D,C-,C,"Attention to Detail, Debating","Teamwork, Research, Attention to Detail, Creativity, Analytical Skills, Communication",2
A,D+,D+,D,C,A-,C-,C+,B-,C,C+,C-,A,E,B,D+,B,B,C,D-,C+,A,B,E,C-,A,"Communication, Healthcare, Sports","Communication, Attention to Detail, Manual Dexterity, Problem Solving",2
B+,D-,A,E,D,E,D,E,A,C,D+,B+,B+,C-,A-,C-,D-,C+,D+,C+,E,B+,C-,C-,E,B,"Attention to Detail, Management","Attention to Detail, Logical Thinking, Empathy, Analytical Skills",2
A-,C-,A,C+,B,B-,A,B,C+,C,C+,B,A,C+,D+,A-,B-,C+,A-,C+,B,D,C,B-,B-,C,"Art, Empathy","Teamwork, Research, Attention to Detail, Manual Dexterity, Communication",2
B-,B,C,B,B,D-,C,A-,A-,A-,D-,C-,D,B+,B-,D,A,D-,C,A,B-,C,C+,C-,B-,E,"Science, Empathy, Technology, Management","Logical Thinking, Research, Manual Dexterity, Communication, Empathy",2
E,B-,C,D-,B-,B+,B+,C,A,C+,C-,D-,C-,C-,D,A-,A-,A,A-,B-,C+,A-,A,B-,C+,C+,"Empathy, Sports","Communication, Empathy",2
D+,C+,A-,A-,D,D-,B,A-,B+,A,C,D+,A-,C-,D,C-,C+,E,D-,D,B-,C-,C-,D+,B,B,"Art, Attention to Detail","Communication, Attention to Detail, Empathy",2
C-,C-,A,B-,A,E,A,D-,B+,C,B-,C+,C,C-,A-,A-,B-,B+,A,D-,C,C-,C-,C,D-,A-,"Art, Empathy, Building things","Communication, Attention to Detail, Leadership",2
D+,D-,D-,B+,D-,C+,B,B-,D,E,A,D,D,E,D-,D,E,C+,A-,A-,B-,D+,D+,A-,A-,B-,"Communication, Healthcare, Management","Logical Thinking, Teamwork, Attention to Detail, Problem Solving, Communication",2
D,D+,B,D+,B-,C+,B-,C,B,B,C+,B+,E,E,B,E,A-,D-,D,D+,C,D-,B+,D,D+,B-,"Art, Communication","Communication, Empathy, Analytical Skills",2
B,B,E,B,B+,C,A,D,A,E,D,A,E,C+,D,C-,E,A-,D,E,A-,D,B-,D-,B,D+,"Attention to Detail, Programming, Sports","Attention to Detail, Problem Solving, Leadership, Analytical Skills, Communication, Empathy",2
B+,E,D-,E,C-,C,D,D-,B-,B,C,A-,D-,C+,A,B,A,D+,D-,C,C-,A-,E,C,D-,B-,"Empathy, Healthcare, Debating, Technology","Attention to Detail, Manual Dexterity, Leadership, Communication, Empathy",2
A,C+,B-,A,B+,B,A,A-,B+,D+,C,D+,C,C,B-,A-,C,A,D-,B-,D+,B-,A-,D,B-,B-,"Attention to Detail, Healthcare","Teamwork, Attention to Detail, Manual Dexterity, Leadership, Empathy",2
B,D-,B+,D-,D-,E,B+,B-,A,D-,B-,A-,E,A,D+,B+,B-,E,B-,C-,A-,A-,A,C,A-,A,"Empathy, Healthcare, Management","Communication, Empathy, Leadership",2
B,E,C-,B-,D+,E,C+,A,C,C,B+,A-,A,B,B,D+,B-,D,D-,C,D+,A-,D-,C-,B+,B-,"Communication, Music","Communication, Attention to Detail, Problem Solving",2
C+,C+,B-,D,B+,A-,A,D+,B,B,D+,A-,D,D,C-,A,A-,B+,D,C-,B-,B,D,E,D+,D-,"Attention to Detail, Debating","Attention to Detail, Empathy, Analytical Skills",2
D+,C-,C-,D-,A-,D,D+,D-,A,A-,A-,B+,C-,C,B-,E,C-,B-,A-,A-,B+,C,D-,C,C-,B-,"Empathy, Music","Attention to Detail, Manual Dexterity, Empathy",2
C+,C-,B+,A-,D-,D+,A,A-,B,D+,E,D+,A-,C+,A,A-,D,C,C,B-,C,C-,C,A-,C+,B+,"Empathy, Debating","Communication, Logical Thinking, Creativity, Empathy",2
D+,A-,B-,B+,D-,E,C-,D+,B+,A-,E,C+,D-,C-,D-,D-,B+,C,A,C,C,E,D+,B,D-,E,"Art, Empathy, Science, Debating","Communication, Empathy, Leadership",2
D-,D,C-,B-,B+,E,B+,D,A,D+,D+,B,D,C+,D,C,C+,D-,A,B-,B+,A,A-,D,D+,C,"Science, Empathy, Music","Communication, Creativity, Empathy",2
A,B-,C+,E,B-,E,C+,C,A,D+,D,B,B+,A-,C,C-,C-,D+,A-,A,B-,D+,D-,B,C,E,"Empathy, Science, Building things","Logical Thinking, Teamwork, Research, Attention to Detail, Empathy",2
